"Source:","C:\Users\kevin_mueller\Privat\Hayabusa\Hardware\ECU\ECU.kicad_sch"
"Date:","2025-05-27T14:15:52+0200"
"Tool:","Eeschema 9.0.0"
"Generator:","C:\Users\kevin_mueller\Privat\KiCadPortable\App\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","161"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Allied_Number","Arrow Part Number","Arrow Price/Stock","Datasheet","Description","Digikey Part Number","Footprint","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock","Sim.Device","Sim.Library","Sim.Pins","Tolerance","URL","Voltage"
"1","1","A1","Pololu_Breakout_DRV8825","Driver_Motor:Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982","","","","","https://www.pololu.com/product/2982","Pololu Breakout Board, Stepper Driver DRV8825","","Module:Pololu_Breakout-16_15.2x20.3mm","","","","","","","","","","","","",""
"2","1","BT1","Battery_Cell","Device:Battery_Cell","2999:BAT_2999","~","","","","","~","Single-cell battery","36-2999-ND","2999:BAT_2999","","Keystone","2999","","","","","","","","","https://www.digikey.com.au/product-detail/en/keystone-electronics/2999/36-2999-ND/2137863",""
"3","14","C3, C9, C12, C13, C14, C20, C21, C23, C26, C32, C34, C37, C40, C41","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","311-1140-1-ND","Capacitor_SMD:C_0805_2012Metric","","Yageo","CC0805KRX7R9BB104","","","","","","","","","https://www.digikey.com.au/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050",""
"4","4","C4, C7, C29, C30","0.01uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","311-1136-1-ND","Capacitor_SMD:C_0805_2012Metric","","Yageo","CC0805KRX7R9BB103","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046",""
"5","1","C5","4700pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","311-1133-1-ND","Capacitor_SMD:C_0805_2012Metric","","Yageo","CC0805KRX7R9BB472","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046",""
"6","2","C6, C8","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","399-16591-1-ND","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C102J5HACAUTO","","","","","","","","","https://www.digikey.com/product-detail/en/kemet/C0805C102J5HACAUTO/399-16591-1-ND/7943643",""
"7","2","C10, C11","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","311-1365-1-ND","Capacitor_SMD:C_0805_2012Metric","","Yageo","CC0805KKX7R7BB105","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149",""
"8","2","C15, C18","270nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","311-4268-1-ND","Capacitor_SMD:C_0805_2012Metric","","Yageo","CC0805JRX7R7BB274","","","","","","","","","https://www.digikey.com.au/product-detail/en/yageo/CC0805JRX7R7BB274/311-4268-1-ND/8025357",""
"9","5","C16, C17, C24, C25, C28","0.22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","~","Unpolarized capacitor","1276-1284-1-ND","Capacitor_SMD:C_0805_2012Metric","","Samsung","CL21B224KOCNNNC","","","","","","","","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370",""
"10","1","C27","100uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","~","Unpolarized capacitor","1276-1782-1-ND","Capacitor_SMD:C_1206_3216Metric","","Samsung","CL31A107MQHNNNE","","","","","","","","","https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL31A107MQHNNNE/1276-1782-1-ND/3889868",""
"11","1","C31","100uF","Device:CP","Capacitor_SMD:CP_Elec_6.3x7.7","","","","","","","","P124821CT-ND","Capacitor_SMD:CP_Elec_6.3x7.7","","Panasonic","EEE-FT1V101AV","","","","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-FT1V101AV/P124821CT-ND/10290763",""
"12","2","C33, C36","47uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","","","","","","","","478-1692-1-ND","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","","AVX","TAJB476K006RNJ","","","","","","","","","https://www.digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724","10V"
"13","1","C35","22uF","Device:CP","Capacitor_SMD:CP_Elec_4x5.4","","","","","","","","EEE-1CA220WR","Capacitor_SMD:CP_Elec_4x5.4","","Panasonic","PCE3882CT-ND","","","","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-1CA220WR/PCE3882CT-ND/766258","10v"
"14","2","C38, C39","33uF","Device:CP","Capacitor_SMD:CP_Elec_6.3x7.7","","","","","","","","PCE3925CT-ND","Capacitor_SMD:CP_Elec_6.3x7.7","","Panasonic","EEE-1HA330XP","","","","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-1HA330XP/PCE3925CT-ND/766301","50V"
"15","8","D1, D2, D5, D7, D18, D19, D21, D22","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","~","Light emitting diode","SML-H12D8TT86CCT-ND","LED_SMD:LED_0805_2012Metric","","Rohm Semiconductor","SML-H12D8TT86C","","","","","","","","","https://www.digikey.com.au/product-detail/en/rohm-semiconductor/SML-H12D8TT86C/SML-H12D8TT86CCT-ND/9090486",""
"16","1","D3","1N4148WT","Diode:1N4148WT","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf","","","","","https://www.diodes.com/assets/Datasheets/ds30396.pdf","75V 0.15A Fast switching Diode, SOD-523","","Diode_SMD:D_SOD-523","","","","","","","","D","","1=K 2=A","","",""
"17","10","D9, D11, D13, D15, D25, D26, D28, D29, D30, D31","D","Device:D","Diode_SMD:D_SOD-323","~","","","","","~","Diode","1N4448WXTPMSCT-ND","Diode_SMD:D_SOD-323","","MCC","1N4448WX-TP","","","","","","","","","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338",""
