Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,Mouser,MO_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
BT1,1,ML2032,BatteryHolder_Keystone_3034_1x20mm,3034,Keystone Electronics,36-3034-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=36-3034-ND,,,SMD-Halter 20 mm (Keystone 3034); Zelle ML2032 separat: Jauch ML2032 / DK 1908-ML2032-ND. Keine CR2032 (nicht ladbar)!
"C1,C38,C41,C43,C35,C42,C36,C37,C68,C74,C67,C21,C25,C22,C31,C32,C30,C34,C23,C24,C77,C7",22,100nF,0805,CC0805KRX7R9BB104,Yageo,311-1140-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,,
C4,1,4.7nF,0805,CC0805KRX7R9BB472,Yageo,311-1133-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1133-1-ND,,,
C5,1,10uF,1206,GRM31CR71E106KA12L,Murata,490-6518-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=490-6518-1-ND,,,
C6,1,100nF 100V,1206,C1206C104K1RACTU,KEMET,399-C1206C104K1RACTUCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=399-C1206C104K1RACTUCT-ND,,,
"C8,C9",2,470pF,0805,CC0805KRX7R9BB471,Yageo,311-1124-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1124-1-ND,,,
"C11,C75",2,0.01uF,0805,CC0805KRX7R9BB103,Yageo,311-1136-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,,
"C12,C10,C26",3,1nF,0805,C0805C102J5HACAUTO,Kemet,399-16591-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=399-16591-1-ND,,,
"C13,C3,C2,C15,C17",5,0.1uF,0805,CC0805KRX7R9BB104,Yageo,311-1140-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,,
C14,1,1uF,0805,CC0805KKX7R7BB105,Yageo,311-1365-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1365-1-ND,,,
"C18,C16",2,33uF,CP_Elec_6.3x7.7,EEE-1HA330XP,Panasonic,PCE3925CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=PCE3925CT-ND,,,
"C20,C19,C51,C52",4,100n,0805,CC0805KRX7R9BB104,Yageo,311-1140-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,,
"C40,C39,C28,C29,C27,C33",6,10nF,0805,CC0805KRX7R9BB103,Yageo,311-1136-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,,
"C45,C44",2,10n,0805,CC0805KRX7R9BB103,Yageo,311-1136-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,,
C46,1,100u/50V,CP_Elec_8x10,EEE-FK1H101GP,Panasonic,PCE4323CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=PCE4323CT-ND,,,
C47,1,1u,0805,CC0805KKX7R7BB105,Yageo,311-1365-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1365-1-ND,,,
C48,1,220n,0805,CC0805KKX7R9BB224,Yageo,311-1887-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1887-1-ND,,,
C49,1,22n,0805,CC0805KRX7R9BB223,Yageo,311-1138-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1138-1-ND,,,
C50,1,1n,0805,C0805C102J5HACAUTO,KEMET,399-16591-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=399-16591-1-ND,,,
"C53,C73,C54,C65",4,100nF/100V,1210,C1210C104K1RACTU,KEMET,399-C1210C104K1RACTUCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=399-C1210C104K1RACTUCT-ND,,,
"C56,C55",2,4.7uF/100V,1210,C3225X7S2A475K200AB,TDK,445-6042-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=445-6042-1-ND,,,
C57,1,1uF/50V,0805,CC0805KKX7R9BB105,Yageo,311-1886-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1886-1-ND,,,
