Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
BT1,1,ML2032,ML2032,BatteryHolder_Keystone_3034_1x20mm,Keystone Electronics,3034,DigiKey,36-3034-ND,https://www.digikey.de/de/products/result?keywords=36-3034-ND,,SMD-Halter 20 mm (Keystone 3034); Zelle ML2032 separat: Jauch ML2032 / DK 1908-ML2032-ND. Keine CR2032 (nicht ladbar)!
"C1,C38,C41,C43,C35,C42,C36,C37,C68,C74,C67,C21,C25,C22,C31,C32,C30,C34,C23,C24,C77,C7",22,100nF,Kondensator 100nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
C4,1,4.7nF,Kondensator 4.7nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB472,DigiKey,311-1133-1-ND,https://www.digikey.de/de/products/result?keywords=311-1133-1-ND,,
C5,1,10uF,Kondensator 10µF X7R 25V ±10% 1206,1206,Murata,GRM31CR71E106KA12L,DigiKey,490-6518-1-ND,https://www.digikey.de/de/products/result?keywords=490-6518-1-ND,,
C6,1,100nF 100V,Kondensator 100nF X7R 100V ±10% 1206,1206,KEMET,C1206C104K1RACTU,DigiKey,399-C1206C104K1RACTUCT-ND,https://www.digikey.de/de/products/result?keywords=399-C1206C104K1RACTUCT-ND,,
"C8,C9",2,470pF,Kondensator 470pF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB471,DigiKey,311-1124-1-ND,https://www.digikey.de/de/products/result?keywords=311-1124-1-ND,,
"C11,C75",2,0.01uF,Kondensator 0.01uF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB103,DigiKey,311-1136-1-ND,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,
"C12,C10,C26",3,1nF,Kondensator 1nF C0G 50V ±5% 0805 AEC-Q200,0805,Kemet,C0805C102J5HACAUTO,DigiKey,399-16591-1-ND,https://www.digikey.de/de/products/result?keywords=399-16591-1-ND,,
"C13,C3,C2,C15,C17",5,0.1uF,Kondensator 0.1uF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
C14,1,1uF,Kondensator 1uF X7R 16V ±10% 0805,0805,Yageo,CC0805KKX7R7BB105,DigiKey,311-1365-1-ND,https://www.digikey.de/de/products/result?keywords=311-1365-1-ND,,
"C18,C16",2,33uF,Elko 33µF 50V SMD 6.3x7.7mm 105°C,CP_Elec_6.3x7.7,Panasonic,EEE-1HA330XP,DigiKey,PCE3925CT-ND,https://www.digikey.de/de/products/result?keywords=PCE3925CT-ND,,
"C20,C19,C51,C52",4,100n,Kondensator 100n X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
"C40,C39,C28,C29,C27,C33",6,10nF,Kondensator 10nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB103,DigiKey,311-1136-1-ND,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,
"C45,C44",2,10n,Kondensator 10n X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB103,DigiKey,311-1136-1-ND,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,
C46,1,100u/50V,Elko 100µF 50V SMD 8x10mm 105°C,CP_Elec_8x10,Panasonic,EEE-FK1H101GP,DigiKey,PCE4323CT-ND,https://www.digikey.de/de/products/result?keywords=PCE4323CT-ND,,
C47,1,1u,Kondensator 1u X7R 16V ±10% 0805,0805,Yageo,CC0805KKX7R7BB105,DigiKey,311-1365-1-ND,https://www.digikey.de/de/products/result?keywords=311-1365-1-ND,,
C48,1,220n,Kondensator 220n X7R 50V ±10% 0805,0805,Yageo,CC0805KKX7R9BB224,DigiKey,311-1887-1-ND,https://www.digikey.de/de/products/result?keywords=311-1887-1-ND,,
C49,1,22n,Kondensator 22n X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB223,DigiKey,311-1138-1-ND,https://www.digikey.de/de/products/result?keywords=311-1138-1-ND,,
