Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
"C7,C5,C3,C14,C17,C18,C15,C16,C13,C4,C6,C8",12,10nF,Kondensator 10nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB103,DigiKey,311-1136-1-ND,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,
"C11,C12,C1,C2",4,0.01uF,Kondensator 0.01uF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB103,DigiKey,311-1136-1-ND,https://www.digikey.de/de/products/result?keywords=311-1136-1-ND,,
C23,1,100uF,Kondensator 100µF X5R 6.3V ±20% 1206,1206,Samsung Electro-Mechanics,CL31A107MQHNNNE,DigiKey,1276-1782-1-ND,https://www.digikey.de/de/products/result?keywords=1276-1782-1-ND,,
C33,1,4.7uF,Kondensator 4.7uF X7R 16V ±10% 0805,0805,Yageo,CC0805KKX7R7BB475,DigiKey,311-1883-1-ND,https://www.digikey.de/de/products/result?keywords=311-1883-1-ND,,
"C39,C24,C27,C28",4,1uF,Kondensator 1uF X7R 16V ±10% 0805,0805,Yageo,CC0805KKX7R7BB105,DigiKey,311-1365-1-ND,https://www.digikey.de/de/products/result?keywords=311-1365-1-ND,,
"C43,C45",2,2.2uF/50V,Kondensator 2.2µF X7R 50V ±10% 1210,1210,TDK,C3225X7R1H225K250AB,DigiKey,445-1431-1-ND,https://www.digikey.de/de/products/result?keywords=445-1431-1-ND,,
C44,1,4.7nF,Kondensator 4.7nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB472,DigiKey,311-1133-1-ND,https://www.digikey.de/de/products/result?keywords=311-1133-1-ND,,
C46,1,100nF/100V,Kondensator 100nF X7R 100V ±10% 0805,0805,KEMET,C0805C104K1RACTU,DigiKey,399-C0805C104K1RACTUCT-ND,https://www.digikey.de/de/products/result?keywords=399-C0805C104K1RACTUCT-ND,,
"C47,C36,C37,C38,C50,C53,C41,C40,C34,C42,C26,C29",12,0.1uF,Kondensator 0.1uF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
"C48,C49",2,33uF,Elko 33µF 50V SMD 6.3x7.7mm 105°C,CP_Elec_6.3x7.7,Panasonic,EEE-1HA330XP,DigiKey,PCE3925CT-ND,https://www.digikey.de/de/products/result?keywords=PCE3925CT-ND,,
"C51,C52",2,22 µF,Elko 22µF 50V SMD 6.3x7.7mm 105°C,EEE1AA221P,Panasonic,EEE-FK1H220P,DigiKey,PCE3811CT-ND,https://www.digikey.de/de/products/result?keywords=PCE3811CT-ND,,Ersatz: EEE-1HA220AP war 8mm-Durchmesser (Footprint 6.3mm) + NRND
C54,1,22uF/10V,Kondensator 22µF X7R 10V ±10% 1210,1210,Murata,GRM32ER71A226KE20L,DigiKey,490-1876-1-ND,https://www.digikey.de/de/products/result?keywords=490-1876-1-ND,,
"C55,C35,C21,C22,C25,C9,C10,C19,C20,C32,C31,C30",12,100nF,Kondensator 100nF X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
"D1,D7,D5,D6",4,SMAJ5.0A,TVS 5V unidirektional 400W SMA,SMA,Littelfuse,SMAJ5.0A,DigiKey,SMAJ5.0ALFCT-ND,https://www.digikey.de/de/products/result?keywords=SMAJ5.0ALFCT-ND,,3.3V-SMA-TVS nicht lieferbar (MCC 16 Wo.); 5V-Standoff klemmt vergleichbar
D2,1,SK510L,Schottky 5A 100V SMC,SMC,MCC,SK510L-TP,DigiKey,SK510L-TPMSCT-ND,https://www.digikey.de/de/products/result?keywords=SK510L-TPMSCT-ND,,Ersatz fuer SS5P10 (TO-277-Package passte nicht zu SMC-Footprint)
D3,1,SMBJ33A,TVS 33V unidirektional 600W SMB,SMB,Littelfuse,SMBJ33A,DigiKey,SMBJ33ALFCT-ND,https://www.digikey.de/de/products/result?keywords=SMBJ33ALFCT-ND,,
D4,1,NUP2105L,CAN-ESD-Schutz NUP2105L SOT-23,SOT-23,onsemi,NUP2105LT1G,DigiKey,NUP2105LT1GOSCT-ND,https://www.digikey.de/de/products/result?keywords=NUP2105LT1GOSCT-ND,,
