Bezeichnung;Bezeichner;Footprint
ML2032;BT1;BatteryHolder_Keystone_3034_1x20mm
100nF;C1, C7, C21, C22, C23, C24, C25, C30, C31, C32, C34, C35, C36, C37, C38, C41, C42, C43, C67, C68, C74, C77;C_0805_2012Metric
0.1uF;C2, C3, C13, C15, C17;C_0805_2012Metric
4.7nF;C4;C_0805_2012Metric
10uF;C5;C_1206_3216Metric
100nF 100V;C6;C_1206_3216Metric
470pF;C8, C9;C_0805_2012Metric
1nF;C10, C12, C26;C_0805_2012Metric
0.01uF;C11, C75;C_0805_2012Metric
1uF;C14;C_0805_2012Metric
33uF;C16, C18;CP_Elec_6.3x7.7
100n;C19, C20, C51, C52;C_0805_2012Metric
10nF;C27, C28, C29, C33, C39, C40;C_0805_2012Metric
10n;C44, C45;C_0805_2012Metric
100u/50V;C46;CP_Elec_8x10
1u;C47;C_0805_2012Metric
220n;C48;C_0805_2012Metric
22n;C49;C_0805_2012Metric
1n;C50;C_0805_2012Metric
100nF/100V;C53, C54, C65, C73;C_1210_3225Metric
4.7uF/100V;C55, C56;C_1210_3225Metric
1uF/50V;C57;C_0805_2012Metric
10uF/10V;C58, C63;C_0805_2012Metric
100nF/25V;C59, C66;C_0805_2012Metric
39pF;C60;C_0805_2012Metric
100uF/50V;C61, C69;CP_Elec_8x10
6800pF;C62;C_0805_2012Metric
22uF/10V;C64;C_1210_3225Metric
47uF/10V X7R;C70, C72;C_1210_3225Metric
10uF/50V X7R;C71;C_1210_3225Metric
CC0805KRX7R9BB104;C76, C78, C80;C_0805_2012Metric
CC0805KKX7R7BB475;C79;C_0805_2012Metric
CC0805JRX7R9BB332;C81, C82;C_0805_2012Metric
D_Schottky;D1;D_PowerDI-123
SMAJ5.0A;D2;D_SMA
NUP2105L;D3;SOT-23
BAV199;D4, D5, D6, D7, D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D27, D28, D29, D30, D46, D47;SOT-23
LED;D8, D9, D14, D15;LED_0805_2012Metric
D;D10, D11, D12, D13;D_SOD-323
3V6 1W (SMA);D22;D_SMA
SS34;D31, D32, D33, D34, D35, D36, D39, D40;D_SMA
1N4148W;D37, D38;D_SOD-123
SM8S24A;D41;D_DO-218AB
B560C;D42;D_SMC
LED grn;D43, D44, D45;LED_0805_2012Metric
150mA;F1;Fuse_1812_4532Metric
3A / 63V;F2;Fuse_1206_3216Metric
MAX9926UAEE_V+;IC1;QSOP-16_3.9x4.9mm_P0.635mm
ZXMS6006DT8;IC2, IC3, IC4;SOT153P700X170-8N
LD1117S33;IC5;SOT-223-3_TabPin2
74AHCT125T14-13;IC6;TSSOP-14_4.4x5mm_P0.65mm
TPIC8101DW;IC7;SOIC-20W_7.5x12.8mm_P1.27mm
Conn_01x04;J1;PinHeader_1x04_P2.54mm_Vertical
10uH / 3.3A;L1;L_Bourns_SRR1260
8.2uH / 5A;L2;L_Bourns_SRR1260
BSS138;Q5;SOT-23
SQM120N06-3M5L;Q6;TO-263-2
1k;R1, R17, R18, R40, R41, R51, R52, R63, R75, R92, R93, R94, R95, R96, R97, R98, R122, R124;R_0805_2012Metric
10k;R2, R3, R4, R5, R8, R27, R31, R32, R33, R34, R35, R71, R73, R74, R78, R79, R80, R81, R89, R106, R110, R111, R113, R123;R_0805_2012Metric
60.4R;R6, R7;R_0805_2012Metric
0R DNP;R9, R10, R21, R22;R_0805_2012Metric
0R;R11, R13, R19, R20;R_0805_2012Metric
470R;R12, R14, R58, R59, R60, R61, R62, R70, R76, R77, R86, R120;R_0805_2012Metric
10k DNP;R15, R16;R_0805_2012Metric
10k;R23, R24, R25, R26;R_1206_3216Metric
33;R28, R29, R53, R54;R_0805_2012Metric
20m;R30;R_2512_6332Metric
18k;R36, R37, R38, R39, R42, R43, R44, R45;R_1206_3216Metric
4.02k;R46, R47, R48, R49;R_0805_2012Metric
100k;R50, R99, R100, R101, R102, R103, R104, R108, R109, R112;R_0805_2012Metric
2k49;R55, R56;R_0805_2012Metric
2k2;R57, R121;R_0805_2012Metric
12k;R64, R65, R66, R82, R83, R87, R88;R_0805_2012Metric
20k;R67, R68, R69, R84, R85;R_0805_2012Metric
47k;R72;R_0805_2012Metric
5k6;R90;R_0805_2012Metric
1M;R91;R_0805_2012Metric
15k;R105;R_0805_2012Metric
330k;R107;R_0805_2012Metric
237k;R114;R_0805_2012Metric
56k2;R115;R_0805_2012Metric
162k;R116;R_0805_2012Metric
53k6;R117;R_0805_2012Metric
10k2;R118;R_0805_2012Metric
13k;R119;R_0805_2012Metric
2k;R125;R_0805_2012Metric
RC0805FR-071ML;R126, R131, R132;R_0805_2012Metric
RC0805FR-07100KL;R127, R128, R129, R130;R_0805_2012Metric
W25Q32JVSS;U2;SOIC-8_5.3x5.3mm_P1.27mm
MCP2562-E-SN;U3;SOIC-8_3.9x4.9mm_P1.27mm
74AHC1G32;U4;SOT-353_SC-70-5
ADXL343;U5;LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y
USBLC6-2SC6;U6;SOT-23-6
TPS3823-33DBV;U8;SOT-23-5
74LVC1G00;U9;SOT-353_SC-70-5
LMV324;U10, U11;SOIC-14_3.9x8.7mm_P1.27mm
DRV8434A;U12;HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias
BTF3050TE;U13, U14;TO-252-5_TabPin3
LM74700-Q1;U15;SOT-23-6
TPS54360B-Q1;U16;HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias
TPS7B6950-Q1;U17;SOT-223-3_TabPin2
74LVC1G125;U18;SOT-353_SC-70-5
CSTCR4M00G53-R0;Y1;Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm
