Ref;PosX;PosY;Side;Rot
R71;200486186;-47583113;bottom;0
BT1;80000000;-54500000;top;0
C1;167000000;-113000000;top;90000000
C2;179500000;-89500000;top;0
C3;167000000;-103000000;top;90000000
C4;192500000;-99000000;top;90000000
C5;161500000;-64000000;top;0
C6;168500000;-79000000;top;90000000
C7;172000000;-79500000;top;90000000
C8;149974000;-101496200;top;0
C9;150267000;-80730600;top;0
C10;128000000;-70000000;top;0
C11;140000000;-77500000;top;90000000
C12;119500000;-77500000;top;90000000
C13;132500000;-69000000;top;90000000
C14;137000000;-72500000;top;90000000
C15;181000000;-86000000;top;0
C16;171500000;-94500000;top;90000000
C17;186000000;-85000000;top;0
C18;183000000;-105500000;top;0
C19;176000000;-84000000;top;0
C20;150072000;-105132200;top;0
C21;80500000;-80500000;top;0
C22;85500000;-70500000;top;0
C23;91500000;-65000000;top;0
C24;101000000;-70500000;top;90000000
C25;90500000;-75500000;top;0
C26;84500000;-84500000;top;90000000
C27;105000000;-71000000;top;0
C28;86500000;-89500000;top;90000000
C29;88500000;-80500000;top;0
C30;97000000;-70000000;top;0
C31;83000000;-89500000;top;90000000
C32;84500000;-79500000;top;90000000
C33;105000000;-67500000;top;0
C34;87500000;-66500000;top;90000000
C35;118000000;-91000000;top;90000000
C36;112500000;-89500000;top;0
C37;118500000;-95000000;top;0
C38;114000000;-116000000;top;90000000
C39;118000000;-115000000;top;0
C40;126000000;-116000000;top;0
C41;127500000;-97000000;top;90000000
C42;114000000;-100500000;top;90000000
C43;127000000;-132000000;top;0
C44;203500000;-100000000;top;0
C45;161000000;-98500000;top;90000000
C46;195000000;-106500000;top;0
C47;127000000;-34800000;top;90000000
C48;116600000;-34800000;top;90000000
C49;124400000;-34800000;top;90000000
C50;129600000;-34800000;top;90000000
C51;165000000;-99000000;top;0
C52;165500000;-95000000;top;90000000
C53;111500000;-131500000;top;0
C54;105000000;-140000000;top;0
C55;117500000;-129500000;top;0
C56;111500000;-127000000;top;0
C57;76500000;-139500000;top;90000000
C58;119000000;-138000000;top;0
C59;71000000;-115500000;top;90000000
C60;83500000;-133000000;top;90000000
C61;87500000;-117500000;top;0
C62;68500000;-115500000;top;90000000
C63;109000000;-80500000;top;90000000
C64;113000000;-136000000;top;0
C65;99000000;-140000000;top;0
C66;73000000;-130500000;top;90000000
