Ref,Val,Package,PosX,PosY,Rot,Side
"R71","10k","R_0805_2012Metric",200.486186,-47.583113,0.000000,bottom
"BT1","ML2032","BatteryHolder_Keystone_3034_1x20mm",80.000000,-54.500000,0.000000,top
"C1","100nF","C_0805_2012Metric",167.000000,-113.000000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",179.500000,-89.500000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",167.000000,-103.000000,90.000000,top
"C4","4.7nF","C_0805_2012Metric",192.500000,-99.000000,90.000000,top
"C5","10uF","C_1206_3216Metric",161.500000,-64.000000,0.000000,top
"C6","100nF 100V","C_1206_3216Metric",168.500000,-79.000000,90.000000,top
"C7","100nF","C_0805_2012Metric",172.000000,-79.500000,90.000000,top
"C8","470pF","C_0805_2012Metric",149.974000,-101.496200,0.000000,top
"C9","470pF","C_0805_2012Metric",150.267000,-80.730600,0.000000,top
"C10","1nF","C_0805_2012Metric",128.000000,-70.000000,0.000000,top
"C11","0.01uF","C_0805_2012Metric",140.000000,-77.500000,90.000000,top
"C12","1nF","C_0805_2012Metric",119.500000,-77.500000,90.000000,top
"C13","0.1uF","C_0805_2012Metric",132.500000,-69.000000,90.000000,top
"C14","1uF","C_0805_2012Metric",137.000000,-72.500000,90.000000,top
"C15","0.1uF","C_0805_2012Metric",181.000000,-86.000000,0.000000,top
"C16","33uF","CP_Elec_6.3x7.7",171.500000,-94.500000,90.000000,top
"C17","0.1uF","C_0805_2012Metric",186.000000,-85.000000,0.000000,top
"C18","33uF","CP_Elec_6.3x7.7",183.000000,-105.500000,0.000000,top
"C19","100n","C_0805_2012Metric",176.000000,-84.000000,0.000000,top
"C20","100n","C_0805_2012Metric",150.072000,-105.132200,0.000000,top
"C21","100nF","C_0805_2012Metric",80.500000,-80.500000,0.000000,top
"C22","100nF","C_0805_2012Metric",85.500000,-70.500000,0.000000,top
"C23","100nF","C_0805_2012Metric",91.500000,-65.000000,0.000000,top
"C24","100nF","C_0805_2012Metric",101.000000,-70.500000,90.000000,top
"C25","100nF","C_0805_2012Metric",90.500000,-75.500000,0.000000,top
"C26","1nF","C_0805_2012Metric",84.500000,-84.500000,90.000000,top
"C27","10nF","C_0805_2012Metric",105.000000,-71.000000,0.000000,top
"C28","10nF","C_0805_2012Metric",86.500000,-89.500000,90.000000,top
"C29","10nF","C_0805_2012Metric",88.500000,-80.500000,0.000000,top
"C30","100nF","C_0805_2012Metric",97.000000,-70.000000,0.000000,top
"C31","100nF","C_0805_2012Metric",83.000000,-89.500000,90.000000,top
"C32","100nF","C_0805_2012Metric",84.500000,-79.500000,90.000000,top
"C33","10nF","C_0805_2012Metric",105.000000,-67.500000,0.000000,top
"C34","100nF","C_0805_2012Metric",87.500000,-66.500000,90.000000,top
"C35","100nF","C_0805_2012Metric",118.000000,-91.000000,90.000000,top
"C36","100nF","C_0805_2012Metric",112.500000,-89.500000,0.000000,top
"C37","100nF","C_0805_2012Metric",118.500000,-95.000000,0.000000,top
"C38","100nF","C_0805_2012Metric",114.000000,-116.000000,90.000000,top
"C39","10nF","C_0805_2012Metric",118.000000,-115.000000,0.000000,top
"C40","10nF","C_0805_2012Metric",126.000000,-116.000000,0.000000,top
"C41","100nF","C_0805_2012Metric",127.500000,-97.000000,90.000000,top
"C42","100nF","C_0805_2012Metric",114.000000,-100.500000,90.000000,top
"C43","100nF","C_0805_2012Metric",127.000000,-132.000000,0.000000,top
"C44","10n","C_0805_2012Metric",203.500000,-100.000000,0.000000,top
"C45","10n","C_0805_2012Metric",161.000000,-98.500000,90.000000,top
"C46","100u/50V","CP_Elec_8x10",195.000000,-106.500000,0.000000,top
"C47","1u","C_0805_2012Metric",127.000000,-34.800000,90.000000,top
"C48","220n","C_0805_2012Metric",116.600000,-34.800000,90.000000,top
"C49","22n","C_0805_2012Metric",124.400000,-34.800000,90.000000,top
"C50","1n","C_0805_2012Metric",129.600000,-34.800000,90.000000,top
"C51","100n","C_0805_2012Metric",165.000000,-99.000000,0.000000,top
"C52","100n","C_0805_2012Metric",165.500000,-95.000000,90.000000,top
"C53","100nF/100V","C_1210_3225Metric",111.500000,-131.500000,0.000000,top
"C54","100nF/100V","C_1210_3225Metric",105.000000,-140.000000,0.000000,top
"C55","4.7uF/100V","C_1210_3225Metric",117.500000,-129.500000,0.000000,top
"C56","4.7uF/100V","C_1210_3225Metric",111.500000,-127.000000,0.000000,top
"C57","1uF/50V","C_0805_2012Metric",76.500000,-139.500000,90.000000,top
"C58","10uF/10V","C_0805_2012Metric",119.000000,-138.000000,0.000000,top
"C59","100nF/25V","C_0805_2012Metric",71.000000,-115.500000,90.000000,top
"C60","39pF","C_0805_2012Metric",83.500000,-133.000000,90.000000,top
"C61","100uF/50V","CP_Elec_8x10",87.500000,-117.500000,0.000000,top
"C62","6800pF","C_0805_2012Metric",68.500000,-115.500000,90.000000,top
"C63","10uF/10V","C_0805_2012Metric",109.000000,-80.500000,90.000000,top
"C64","22uF/10V","C_1210_3225Metric",113.000000,-136.000000,0.000000,top
"C65","100nF/100V","C_1210_3225Metric",99.000000,-140.000000,0.000000,top
"C66","100nF/25V","C_0805_2012Metric",73.000000,-130.500000,90.000000,top
"C67","100nF","C_0805_2012Metric",124.500000,-135.500000,0.000000,top
"C68","100nF","C_0805_2012Metric",114.000000,-140.000000,0.000000,top
"C69","100uF/50V","CP_Elec_8x10",102.000000,-132.500000,0.000000,top
"C70","47uF/10V X7R","C_1210_3225Metric",123.500000,-128.000000,0.000000,top
"C71","10uF/50V X7R","C_1210_3225Metric",111.500000,-122.500000,0.000000,top
"C72","47uF/10V X7R","C_1210_3225Metric",119.000000,-134.000000,0.000000,top
"C73","100nF/100V","C_1210_3225Metric",117.500000,-125.000000,0.000000,top
"C74","100nF","C_0805_2012Metric",69.000000,-94.950000,-90.000000,top
"C75","0.01uF","C_0805_2012Metric",153.000000,-133.000000,0.000000,top
"C76","CC0805KRX7R9BB104","C_0805_2012Metric",161.500000,-94.500000,0.000000,top
"C77","100nF","C_0805_2012Metric",150.500000,-92.500000,0.000000,top
"C78","CC0805KRX7R9BB104","C_0805_2012Metric",162.500000,-91.000000,0.000000,top
"C79","CC0805KKX7R7BB475","C_0805_2012Metric",162.000000,-87.500000,0.000000,top
"C80","CC0805KRX7R9BB104","C_0805_2012Metric",158.000000,-133.000000,0.000000,top
"C81","CC0805JRX7R9BB332","C_0805_2012Metric",163.500000,-139.000000,0.000000,top
"C82","CC0805JRX7R9BB332","C_0805_2012Metric",154.500000,-140.500000,90.000000,top
"D1","D_Schottky","D_PowerDI-123",146.000000,-77.650000,90.000000,top
"D2","SMAJ5.0A","D_SMA",162.500000,-54.500000,0.000000,top
"D3","NUP2105L","SOT-23",169.500000,-61.000000,90.000000,top
"D4","BAV199","SOT-23",150.620000,-98.110000,0.000000,top
"D5","BAV199","SOT-23",156.643800,-88.101800,0.000000,top
"D6","BAV199","SOT-23",123.014400,-113.494900,0.000000,top
"D7","BAV199","SOT-23",150.210700,-116.034300,0.000000,top
"D8","LED","LED_0805_2012Metric",176.900000,-61.583300,-90.000000,top
"D9","LED","LED_0805_2012Metric",180.600000,-61.670800,-90.000000,top
"D10","D","D_SOD-323",176.900000,-58.170800,-90.000000,top
"D11","D","D_SOD-323",180.600000,-58.258300,-90.000000,top
"D12","D","D_SOD-323",173.000000,-58.229200,-90.000000,top
"D13","D","D_SOD-323",184.500000,-58.200000,-90.000000,top
"D14","LED","LED_0805_2012Metric",173.000000,-61.641700,-90.000000,top
"D15","LED","LED_0805_2012Metric",184.500000,-61.612500,-90.000000,top
"D16","BAV199","SOT-23",91.000000,-89.500000,0.000000,top
"D17","BAV199","SOT-23",100.500000,-75.500000,0.000000,top
"D18","BAV199","SOT-23",94.000000,-84.500000,90.000000,top
"D19","BAV199","SOT-23",105.500000,-75.500000,90.000000,top
"D20","BAV199","SOT-23",104.500000,-80.500000,0.000000,top
"D21","BAV199","SOT-23",99.000000,-80.500000,0.000000,top
"D22","3V6 1W (SMA)","D_SMA",73.500000,-89.500000,0.000000,top
"D23","BAV199","SOT-23",89.000000,-84.500000,0.000000,top
"D24","BAV199","SOT-23",95.500000,-74.500000,90.000000,top
"D25","BAV199","SOT-23",93.500000,-79.500000,0.000000,top
"D26","BAV199","SOT-23",118.000000,-99.500000,90.000000,top
"D27","BAV199","SOT-23",123.500000,-94.500000,90.000000,top
"D28","BAV199","SOT-23",123.000000,-99.500000,0.000000,top
"D29","BAV199","SOT-23",118.000000,-120.000000,90.000000,top
"D30","BAV199","SOT-23",114.500000,-110.500000,0.000000,top
"D31","SS34","D_SMA",192.500000,-130.500000,0.000000,top
"D32","SS34","D_SMA",185.500000,-132.000000,90.000000,top
"D33","SS34","D_SMA",196.000000,-116.000000,90.000000,top
"D34","SS34","D_SMA",198.500000,-123.000000,0.000000,top
"D35","SS34","D_SMA",179.000000,-130.500000,0.000000,top
"D36","SS34","D_SMA",179.000000,-135.500000,0.000000,top
"D37","1N4148W","D_SOD-123",200.500000,-117.000000,90.000000,top
"D38","1N4148W","D_SOD-123",170.000000,-139.000000,90.000000,top
"D39","SS34","D_SMA",206.500000,-116.500000,0.000000,top
"D40","SS34","D_SMA",176.000000,-140.500000,0.000000,top
"D41","SM8S24A","D_DO-218AB",101.000000,-102.000000,0.000000,top
"D42","B560C","D_SMC",87.500000,-126.500000,0.000000,top
"D43","LED grn","LED_0805_2012Metric",72.000000,-85.500000,0.000000,top
"D44","LED grn","LED_0805_2012Metric",124.500000,-139.000000,0.000000,top
"D45","LED grn","LED_0805_2012Metric",76.000000,-81.500000,90.000000,top
"D46","BAV199","SOT-23",163.000000,-129.500000,0.000000,top
"D47","BAV199","SOT-23",163.500000,-134.500000,90.000000,top
"F1","150mA","Fuse_1812_4532Metric",162.500000,-59.500000,0.000000,top
"F2","3A / 63V","Fuse_1206_3216Metric",72.500000,-95.500000,0.000000,top
"IC1","MAX9926UAEE_V+","QSOP-16_3.9x4.9mm_P0.635mm",126.000000,-75.000000,0.000000,top
"IC2","ZXMS6006DT8","SOT153P700X170-8N",189.765000,-123.388500,-90.000000,top
"IC3","ZXMS6006DT8","SOT153P700X170-8N",183.000000,-114.500000,0.000000,top
"IC4","ZXMS6006DT8","SOT153P700X170-8N",181.265000,-123.388500,-90.000000,top
"IC5","LD1117S33","SOT-223-3_TabPin2",77.000000,-119.500000,90.000000,top
"IC6","74AHCT125T14-13","TSSOP-14_4.4x5mm_P0.65mm",155.500000,-119.500000,0.000000,top
"IC7","TPIC8101DW","SOIC-20W_7.5x12.8mm_P1.27mm",158.000000,-108.500000,0.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",127.000000,-80.190000,0.000000,top
"L1","10uH / 3.3A","L_Bourns_SRR1260",74.500000,-104.500000,0.000000,top
"L2","8.2uH / 5A","L_Bourns_SRR1260",100.500000,-120.000000,0.000000,top
"Q5","BSS138","SOT-23",175.000000,-124.500000,0.000000,top
"Q6","SQM120N06-3M5L","TO-263-2",88.000000,-101.500000,90.000000,top
"R1","1k","R_0805_2012Metric",143.500000,-78.412500,90.000000,top
"R2","10k","R_0805_2012Metric",128.000000,-102.000000,90.000000,top
"R3","10k","R_0805_2012Metric",113.276200,-83.710700,180.000000,top
"R4","10k","R_0805_2012Metric",169.986000,-100.587800,0.000000,top
