"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"BT1";"BatteryHolder_Keystone_3034_1x20mm";1;"ML2032";;;
2;"C1, C7, C21, C22, C23, C24, C25, C30, C31, C32, C34, C35, C36, C37, C38, C41, C42, C43, C67, C68, C74, C77";"C_0805_2012Metric";22;"100nF";;;
3;"C2, C3, C13, C15, C17";"C_0805_2012Metric";5;"0.1uF";;;
4;"C4";"C_0805_2012Metric";1;"4.7nF";;;
5;"C5";"C_1206_3216Metric";1;"10uF";;;
6;"C6";"C_1206_3216Metric";1;"100nF 100V";;;
7;"C8, C9";"C_0805_2012Metric";2;"470pF";;;
8;"C10, C12, C26";"C_0805_2012Metric";3;"1nF";;;
9;"C11, C75";"C_0805_2012Metric";2;"0.01uF";;;
10;"C14";"C_0805_2012Metric";1;"1uF";;;
11;"C16, C18";"CP_Elec_6.3x7.7";2;"33uF";;;
12;"C19, C20, C51, C52";"C_0805_2012Metric";4;"100n";;;
13;"C27, C28, C29, C33, C39, C40";"C_0805_2012Metric";6;"10nF";;;
14;"C44, C45";"C_0805_2012Metric";2;"10n";;;
15;"C46";"CP_Elec_8x10";1;"100u/50V";;;
16;"C47";"C_0805_2012Metric";1;"1u";;;
17;"C48";"C_0805_2012Metric";1;"220n";;;
18;"C49";"C_0805_2012Metric";1;"22n";;;
19;"C50";"C_0805_2012Metric";1;"1n";;;
20;"C53, C54, C65, C73";"C_1210_3225Metric";4;"100nF/100V";;;
21;"C55, C56";"C_1210_3225Metric";2;"4.7uF/100V";;;
22;"C57";"C_0805_2012Metric";1;"1uF/50V";;;
23;"C58, C63";"C_0805_2012Metric";2;"10uF/10V";;;
24;"C59, C66";"C_0805_2012Metric";2;"100nF/25V";;;
25;"C60";"C_0805_2012Metric";1;"39pF";;;
26;"C61, C69";"CP_Elec_8x10";2;"100uF/50V";;;
27;"C62";"C_0805_2012Metric";1;"6800pF";;;
28;"C64";"C_1210_3225Metric";1;"22uF/10V";;;
29;"C70, C72";"C_1210_3225Metric";2;"47uF/10V X7R";;;
30;"C71";"C_1210_3225Metric";1;"10uF/50V X7R";;;
31;"C76, C78, C80";"C_0805_2012Metric";3;"CC0805KRX7R9BB104";;;
32;"C79";"C_0805_2012Metric";1;"CC0805KKX7R7BB475";;;
33;"C81, C82";"C_0805_2012Metric";2;"CC0805JRX7R9BB332";;;
