Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.01uF","C_0805_2012Metric",87.440000,-76.013000,180.000000,bottom
"C2","0.01uF","C_0805_2012Metric",72.990000,-76.013000,180.000000,bottom
"C11","0.01uF","C_0805_2012Metric",80.040000,-76.013000,180.000000,bottom
"C12","0.01uF","C_0805_2012Metric",65.540000,-76.013000,180.000000,bottom
"C34","0.1uF","C_0805_2012Metric",99.031200,-95.512000,180.000000,bottom
"C36","0.1uF","C_0805_2012Metric",98.916300,-98.503100,180.000000,bottom
"C37","0.1uF","C_0805_2012Metric",99.131200,-91.012000,180.000000,bottom
"C38","0.1uF","C_0805_2012Metric",101.631200,-100.512000,0.000000,bottom
"C39","1uF","C_0805_2012Metric",94.081200,-91.562000,-90.000000,bottom
"C40","0.1uF","C_0805_2012Metric",96.091200,-91.562000,-90.000000,bottom
"C41","0.1uF","C_0805_2012Metric",92.081200,-91.562000,-90.000000,bottom
"C42","0.1uF","C_0805_2012Metric",92.531200,-98.512000,180.000000,bottom
"C53","0.1uF","C_0805_2012Metric",110.619200,-104.000000,180.000000,bottom
"R1","100R","ERJ6ENF1000V",88.990000,-79.838000,-90.000000,bottom
"R2","100R","ERJ6ENF1000V",85.418500,-79.838000,-90.000000,bottom
"R3","100R","ERJ6ENF1000V",74.704200,-79.838000,-90.000000,bottom
"R4","100R","ERJ6ENF1000V",71.132800,-79.838000,-90.000000,bottom
"R11","100R","ERJ6ENF1000V",81.847100,-79.838000,-90.000000,bottom
"R12","100R","ERJ6ENF1000V",78.275700,-79.838000,-90.000000,bottom
"R13","100R","ERJ6ENF1000V",67.561400,-79.838000,-90.000000,bottom
"R14","100R","ERJ6ENF1000V",63.990000,-79.838000,-90.000000,bottom
"R45","10k","R_0805_2012Metric",96.081200,-97.599500,-90.000000,bottom
"C3","10nF","C_0805_2012Metric",83.500000,-89.000000,0.000000,top
"C4","10nF","C_0805_2012Metric",63.000000,-89.000000,90.000000,top
"C5","10nF","C_0805_2012Metric",119.000000,-96.500000,0.000000,top
"C6","10nF","C_0805_2012Metric",127.500000,-99.500000,0.000000,top
"C7","10nF","C_0805_2012Metric",113.500000,-109.000000,90.000000,top
"C8","10nF","C_0805_2012Metric",127.000000,-83.000000,90.000000,top
"C9","100nF","C_0805_2012Metric",160.000000,-106.000000,0.000000,top
"C10","100nF","C_0805_2012Metric",160.000000,-109.500000,0.000000,top
"C13","10nF","C_0805_2012Metric",83.000000,-93.500000,0.000000,top
"C14","10nF","C_0805_2012Metric",55.500000,-76.000000,0.000000,top
"C15","10nF","C_0805_2012Metric",122.500000,-100.500000,0.000000,top
"C16","10nF","C_0805_2012Metric",126.000000,-109.500000,0.000000,top
"C17","10nF","C_0805_2012Metric",125.500000,-105.500000,90.000000,top
"C18","10nF","C_0805_2012Metric",129.000000,-105.500000,90.000000,top
"C19","100nF","C_0805_2012Metric",159.500000,-80.500000,90.000000,top
"C20","100nF","C_0805_2012Metric",163.000000,-101.000000,90.000000,top
"C21","100nF","C_0805_2012Metric",131.619200,-75.500000,180.000000,top
"C22","100nF","C_0805_2012Metric",117.519200,-75.432500,90.000000,top
"C23","100uF","C_1206_3216Metric",156.500000,-115.000000,90.000000,top
"C24","1uF","C_0805_2012Metric",123.136700,-77.500000,180.000000,top
"C25","100nF","C_0805_2012Metric",104.069200,-76.450000,90.000000,top
"C26","0.1uF","C_0805_2012Metric",146.569200,-75.450000,90.000000,top
"C27","1uF","C_0805_2012Metric",127.619200,-79.500000,0.000000,top
"C28","1uF","C_0805_2012Metric",136.019200,-75.500000,0.000000,top
"C29","0.1uF","C_0805_2012Metric",159.069200,-76.450000,90.000000,top
"C30","100nF","C_0805_2012Metric",84.659800,-74.730400,0.000000,top
"C31","100nF","C_0805_2012Metric",134.500000,-89.000000,90.000000,top
"C32","100nF","C_0805_2012Metric",139.000000,-89.000000,0.000000,top
"C33","4.7uF","C_0805_2012Metric",160.000000,-115.500000,90.000000,top
"C35","100nF","C_0805_2012Metric",127.500000,-115.500000,0.000000,top
"C43","2.2uF/50V","C_1210_3225Metric",80.500000,-99.000000,0.000000,top
"C44","4.7nF","C_0805_2012Metric",156.000000,-93.500000,90.000000,top
"C45","2.2uF/50V","C_1210_3225Metric",83.500000,-106.000000,90.000000,top
"C46","100nF/100V","C_0805_2012Metric",143.000000,-88.500000,90.000000,top
"C47","0.1uF","C_0805_2012Metric",122.019200,-105.500000,0.000000,top
"C48","33uF","CP_Elec_6.3x7.7",104.069200,-113.200000,90.000000,top
"C49","33uF","CP_Elec_6.3x7.7",80.569200,-113.700000,90.000000,top
"C50","0.1uF","C_0805_2012Metric",64.569200,-114.000000,90.000000,top
"C51","22 µF","EEE1AA221P",71.069200,-99.600000,90.000000,top
"C52","22 µF","EEE1AA221P",71.069200,-112.900000,-90.000000,top
