Comment;Designator;Footprint
0.01uF;C1, C2, C11, C12;C_0805_2012Metric
10nF;C3, C4, C5, C6, C7, C8, C13, C14, C15, C16, C17, C18;C_0805_2012Metric
100nF;C9, C10, C19, C20, C21, C22, C25, C30, C31, C32, C35, C55;C_0805_2012Metric
100uF;C23;C_1206_3216Metric
1uF;C24, C27, C28, C39;C_0805_2012Metric
0.1uF;C26, C29, C34, C36, C37, C38, C40, C41, C42, C47, C50, C53;C_0805_2012Metric
4.7uF;C33;C_0805_2012Metric
2.2uF/50V;C43, C45;C_1210_3225Metric
4.7nF;C44;C_0805_2012Metric
100nF/100V;C46;C_0805_2012Metric
33uF;C48, C49;CP_Elec_6.3x7.7
22 µF;C51, C52;EEE1AA221P
22uF/10V;C54;C_1210_3225Metric
SMAJ5.0A;D1, D5, D6, D7;D_SMA
SK510L;D2;D_SMC
SMBJ33A;D3;D_SMB
NUP2105L;D4;SOT-23
SMCJ18A;D8;D_SMC
SL310A;D9;D_SMA_Handsoldering
50mA;F1, F2, F3;Fuse_1206_3216Metric
0.5A/30V;F4;Fuse_1812_4532Metric
MAX31855KASA+;IC1, IC2, IC3, IC4;SOIC127P600X175-8N
STM32G474RBT6;IC5;QFP50P1200X1200X160-64N
LD1117S33C;IC6;LD1117S33C
MX23A12NF1;J1, J2;MX23A12NF1
1-776266-1;J3;17762661
Conn_01x06_Pin;J4;PinHeader_1x06_P2.54mm_Vertical
BLM18AG601SN1;L1;L_0603_1608Metric
10uH/1A;L2;L_1210_3225Metric
10uH/1.8A;L3;L_Bourns_SRN6045TA
SQM120N06-3M5L;Q1;TO-263-2
100R;R1, R2, R3, R4, R11, R12, R13, R14;ERJ6ENF1000V
0R;R5, R6, R15, R16, R48;R_0805_2012Metric
10k;R7, R8, R9, R10, R17, R18, R19, R20, R42, R45, R50;R_0805_2012Metric
1k;R21, R22, R25, R26, R27, R28, R29, R31, R33, R34, R35, R36, R37, R39, R44;R_0805_2012Metric
2k;R23, R24, R30;RESC2012X60N
10k;R32, R38, R40;R_1206_3216Metric
100;R41;ERJ6ENF1000V
15k;R43;R_0805_2012Metric
60R4;R46, R47;R_0805_2012Metric
40k2;R49;R_0805_2012Metric
SP720;U1;SOIC-16_3.9x9.9mm_P1.27mm
CSTNE16M0V530000R0;U2;CSTNE16M0V530000R0
MCP2562FD-E/SN;U3;SOIC-8_3.9x4.9mm_P1.27mm
TPS560430Y-Q1;U4;SOT-23-6
