Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
1,1,BT1,3034,Keystone Electronics,ML2032,BatteryHolder_Keystone_3034_1x20mm,THT,DigiKey,36-3034-ND,SMD-Halter 20 mm (Keystone 3034); Zelle ML2032 separat: Jauch ML2032 / DK 1908-ML2032-ND. Keine CR2032 (nicht ladbar)!
2,22,"C1,C38,C41,C43,C35,C42,C36,C37,C68,C74,C67,C21,C25,C22,C31,C32,C30,C34,C23,C24,C77,C7",CC0805KRX7R9BB104,Yageo,Kondensator 100nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1140-1-ND,
3,1,C4,CC0805KRX7R9BB472,Yageo,Kondensator 4.7nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1133-1-ND,
4,1,C5,GRM31CR71E106KA12L,Murata,Kondensator 10µF X7R 25V ±10% 1206,1206,SMD,DigiKey,490-6518-1-ND,
5,1,C6,C1206C104K1RACTU,KEMET,Kondensator 100nF X7R 100V ±10% 1206,1206,SMD,DigiKey,399-C1206C104K1RACTUCT-ND,
6,2,"C8,C9",CC0805KRX7R9BB471,Yageo,Kondensator 470pF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1124-1-ND,
7,2,"C11,C75",CC0805KRX7R9BB103,Yageo,Kondensator 0.01uF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1136-1-ND,
8,3,"C12,C10,C26",C0805C102J5HACAUTO,Kemet,Kondensator 1nF C0G 50V ±5% 0805 AEC-Q200,0805,SMD,DigiKey,399-16591-1-ND,
9,5,"C13,C3,C2,C15,C17",CC0805KRX7R9BB104,Yageo,Kondensator 0.1uF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1140-1-ND,
10,1,C14,CC0805KKX7R7BB105,Yageo,Kondensator 1uF X7R 16V ±10% 0805,0805,SMD,DigiKey,311-1365-1-ND,
11,2,"C18,C16",EEE-1HA330XP,Panasonic,Elko 33µF 50V SMD 6.3x7.7mm 105°C,CP_Elec_6.3x7.7,SMD,DigiKey,PCE3925CT-ND,
12,4,"C20,C19,C51,C52",CC0805KRX7R9BB104,Yageo,Kondensator 100n X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1140-1-ND,
13,6,"C40,C39,C28,C29,C27,C33",CC0805KRX7R9BB103,Yageo,Kondensator 10nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1136-1-ND,
14,2,"C45,C44",CC0805KRX7R9BB103,Yageo,Kondensator 10n X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1136-1-ND,
15,1,C46,EEE-FK1H101GP,Panasonic,Elko 100µF 50V SMD 8x10mm 105°C,CP_Elec_8x10,SMD,DigiKey,PCE4323CT-ND,
16,1,C47,CC0805KKX7R7BB105,Yageo,Kondensator 1u X7R 16V ±10% 0805,0805,SMD,DigiKey,311-1365-1-ND,
17,1,C48,CC0805KKX7R9BB224,Yageo,Kondensator 220n X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1887-1-ND,
18,1,C49,CC0805KRX7R9BB223,Yageo,Kondensator 22n X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1138-1-ND,
19,1,C50,C0805C102J5HACAUTO,KEMET,Kondensator 1nF C0G 50V ±5% 0805 AEC-Q200,0805,SMD,DigiKey,399-16591-1-ND,
20,4,"C53,C73,C54,C65",C1210C104K1RACTU,KEMET,Kondensator 100nF X7R 100V ±10% 1210,1210,SMD,DigiKey,399-C1210C104K1RACTUCT-ND,
21,2,"C56,C55",C3225X7S2A475K200AB,TDK,Kondensator 4.7µF X7S 100V ±10% 1210,1210,SMD,DigiKey,445-6042-1-ND,
22,1,C57,CC0805KKX7R9BB105,Yageo,Kondensator 1uF/50V X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1886-1-ND,
23,2,"C58,C63",CL21A106KPFNNNE,Samsung Electro-Mechanics,Kondensator 10µF X5R 10V ±10% 0805,0805,SMD,DigiKey,1276-1052-1-ND,
24,1,C60,CC0805JRNPO9BN390,Yageo,Kondensator 39pF NP0/C0G 50V ±5% 0805,0805,SMD,DigiKey,311-1106-1-ND,
