Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
R71,200.486mm,-47.583mm,Bottom,0.000000,R_0805_2012Metric,10k
BT1,80.000mm,-54.500mm,Top,0.000000,BatteryHolder_Keystone_3034_1x20mm,ML2032
C1,167.000mm,-113.000mm,Top,90.000000,C_0805_2012Metric,100nF
C2,179.500mm,-89.500mm,Top,0.000000,C_0805_2012Metric,0.1uF
C3,167.000mm,-103.000mm,Top,90.000000,C_0805_2012Metric,0.1uF
C4,192.500mm,-99.000mm,Top,90.000000,C_0805_2012Metric,4.7nF
C5,161.500mm,-64.000mm,Top,0.000000,C_1206_3216Metric,10uF
C6,168.500mm,-79.000mm,Top,90.000000,C_1206_3216Metric,100nF 100V
C7,172.000mm,-79.500mm,Top,90.000000,C_0805_2012Metric,100nF
C8,149.974mm,-101.496mm,Top,0.000000,C_0805_2012Metric,470pF
C9,150.267mm,-80.731mm,Top,0.000000,C_0805_2012Metric,470pF
C10,128.000mm,-70.000mm,Top,0.000000,C_0805_2012Metric,1nF
C11,140.000mm,-77.500mm,Top,90.000000,C_0805_2012Metric,0.01uF
C12,119.500mm,-77.500mm,Top,90.000000,C_0805_2012Metric,1nF
C13,132.500mm,-69.000mm,Top,90.000000,C_0805_2012Metric,0.1uF
C14,137.000mm,-72.500mm,Top,90.000000,C_0805_2012Metric,1uF
C15,181.000mm,-86.000mm,Top,0.000000,C_0805_2012Metric,0.1uF
C16,171.500mm,-94.500mm,Top,90.000000,CP_Elec_6.3x7.7,33uF
C17,186.000mm,-85.000mm,Top,0.000000,C_0805_2012Metric,0.1uF
C18,183.000mm,-105.500mm,Top,0.000000,CP_Elec_6.3x7.7,33uF
C19,176.000mm,-84.000mm,Top,0.000000,C_0805_2012Metric,100n
C20,150.072mm,-105.132mm,Top,0.000000,C_0805_2012Metric,100n
C21,80.500mm,-80.500mm,Top,0.000000,C_0805_2012Metric,100nF
C22,85.500mm,-70.500mm,Top,0.000000,C_0805_2012Metric,100nF
C23,91.500mm,-65.000mm,Top,0.000000,C_0805_2012Metric,100nF
C24,101.000mm,-70.500mm,Top,90.000000,C_0805_2012Metric,100nF
C25,90.500mm,-75.500mm,Top,0.000000,C_0805_2012Metric,100nF
C26,84.500mm,-84.500mm,Top,90.000000,C_0805_2012Metric,1nF
C27,105.000mm,-71.000mm,Top,0.000000,C_0805_2012Metric,10nF
C28,86.500mm,-89.500mm,Top,90.000000,C_0805_2012Metric,10nF
C29,88.500mm,-80.500mm,Top,0.000000,C_0805_2012Metric,10nF
C30,97.000mm,-70.000mm,Top,0.000000,C_0805_2012Metric,100nF
C31,83.000mm,-89.500mm,Top,90.000000,C_0805_2012Metric,100nF
C32,84.500mm,-79.500mm,Top,90.000000,C_0805_2012Metric,100nF
C33,105.000mm,-67.500mm,Top,0.000000,C_0805_2012Metric,10nF
C34,87.500mm,-66.500mm,Top,90.000000,C_0805_2012Metric,100nF
C35,118.000mm,-91.000mm,Top,90.000000,C_0805_2012Metric,100nF
