Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
1,12,"C7,C5,C3,C14,C17,C18,C15,C16,C13,C4,C6,C8",CC0805KRX7R9BB103,Yageo,Kondensator 10nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1136-1-ND,
2,4,"C11,C12,C1,C2",CC0805KRX7R9BB103,Yageo,Kondensator 0.01uF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1136-1-ND,
3,1,C23,CL31A107MQHNNNE,Samsung Electro-Mechanics,Kondensator 100µF X5R 6.3V ±20% 1206,1206,SMD,DigiKey,1276-1782-1-ND,
4,1,C33,CC0805KKX7R7BB475,Yageo,Kondensator 4.7uF X7R 16V ±10% 0805,0805,SMD,DigiKey,311-1883-1-ND,
5,4,"C39,C24,C27,C28",CC0805KKX7R7BB105,Yageo,Kondensator 1uF X7R 16V ±10% 0805,0805,SMD,DigiKey,311-1365-1-ND,
6,2,"C43,C45",C3225X7R1H225K250AB,TDK,Kondensator 2.2µF X7R 50V ±10% 1210,1210,SMD,DigiKey,445-1431-1-ND,
7,1,C44,CC0805KRX7R9BB472,Yageo,Kondensator 4.7nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1133-1-ND,
8,1,C46,C0805C104K1RACTU,KEMET,Kondensator 100nF X7R 100V ±10% 0805,0805,SMD,DigiKey,399-C0805C104K1RACTUCT-ND,
9,12,"C47,C36,C37,C38,C50,C53,C41,C40,C34,C42,C26,C29",CC0805KRX7R9BB104,Yageo,Kondensator 0.1uF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1140-1-ND,
10,2,"C48,C49",EEE-1HA330XP,Panasonic,Elko 33µF 50V SMD 6.3x7.7mm 105°C,CP_Elec_6.3x7.7,SMD,DigiKey,PCE3925CT-ND,
11,2,"C51,C52",EEE-FK1H220P,Panasonic,Elko 22µF 50V SMD 6.3x7.7mm 105°C,EEE1AA221P,SMD,DigiKey,PCE3811CT-ND,Ersatz: EEE-1HA220AP war 8mm-Durchmesser (Footprint 6.3mm) + NRND
12,1,C54,GRM32ER71A226KE20L,Murata,Kondensator 22µF X7R 10V ±10% 1210,1210,SMD,DigiKey,490-1876-1-ND,
13,12,"C55,C35,C21,C22,C25,C9,C10,C19,C20,C32,C31,C30",CC0805KRX7R9BB104,Yageo,Kondensator 100nF X7R 50V ±10% 0805,0805,SMD,DigiKey,311-1140-1-ND,
14,4,"D1,D7,D5,D6",SMAJ5.0A,Littelfuse,TVS 5V unidirektional 400W SMA,SMA,SMD,DigiKey,SMAJ5.0ALFCT-ND,3.3V-SMA-TVS nicht lieferbar (MCC 16 Wo.); 5V-Standoff klemmt vergleichbar
15,1,D2,SK510L-TP,MCC,Schottky 5A 100V SMC,SMC,SMD,DigiKey,SK510L-TPMSCT-ND,Ersatz fuer SS5P10 (TO-277-Package passte nicht zu SMC-Footprint)
16,1,D3,SMBJ33A,Littelfuse,TVS 33V unidirektional 600W SMB,SMB,SMD,DigiKey,SMBJ33ALFCT-ND,
17,1,D4,NUP2105LT1G,onsemi,CAN-ESD-Schutz NUP2105L SOT-23,SOT-23,SMD,DigiKey,NUP2105LT1GOSCT-ND,
18,1,D8,SMCJ18A,Littelfuse,TVS 18V unidirektional 1500W SMC,SMC,SMD,DigiKey,SMCJ18ALFCT-ND,
19,1,D9,SL310A-TP,MCC,Schottky 3A 100V SMA,SMA_Handsoldering,SMD,DigiKey,SL310A-TPMSCT-ND,
20,3,"F3,F2,F1",0ZCJ0005FF2E,Bel Fuse,PTC-Sicherung 50mA hold 60V 1206,1206,SMD,DigiKey,5923-0ZCJ0005FF2ECT-ND,
21,1,F4,1812L050/60MR,Littelfuse,PTC-Sicherung 500mA hold 60V 1812,1812,SMD,DigiKey,F8132CT-ND,
22,4,"IC1,IC4,IC2,IC3",MAX31855KASA+T,Analog Devices,MAX31855KASA+,SOIC127P600X175-8N,SMD,DigiKey,MAX31855KASA+TCT-ND,
23,1,IC5,STM32G474RBT6,STMicroelectronics,STM32G474RBT6,QFP50P1200X1200X160-64N,SMD,DigiKey,STM32G474RBT6-ND,Aktuell 0 Lager bei DigiKey - Beschaffung pruefen (Alternative STM32G474RET6 pinkompatibel)
24,1,IC6,LD1117S33CTR,STMicroelectronics,LD1117S33C,LD1117S33C,SMD,DigiKey,497-1241-1-ND,
25,2,"J2,J1",MX23A12NF1,JAE Electronics,MX23A12NF1,MX23A12NF1,THT,DigiKey,670-1683-ND,Gegenstecker MX23A12SF1 + Kontakte separat
26,1,J3,1-776266-1,TE Connectivity,1-776266-1,17762661,THT,DigiKey,A128219-ND,AMPSEAL 14-pol; Gegenstecker+Kontakte separat beschaffen
27,1,J4,61300611121,Würth Elektronik,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,THT,DigiKey,732-5319-ND,
28,1,L1,BLM18AG601SN1D,Murata,Ferrit 600Ω@100MHz 0603,0603,SMD,DigiKey,490-1014-1-ND,
29,1,L2,LQH32PN100MNCL,Murata,Drossel 10µH 1A 1210,1210,SMD,DigiKey,490-LQH32PN100MNCLCT-ND,Irms 900mA / Isat 1A
30,1,L3,SRN6045TA-100M,Bourns,Speicherdrossel 10µH 1.8A 6x6mm geschirmt,Bourns_SRN6045TA,SMD,DigiKey,SRN6045TA-100MCT-ND,
31,1,Q1,SQM120N06-3M5L_GE3,Vishay Siliconix,SQM120N06-3M5L,TO-263-2,SMD,DigiKey,SQM120N06-3M5L_GE3CT-ND,Ersatz: IPB80N06S4L-07 discontinued (Infineon PCN 2023)
32,8,"R1,R4,R12,R14,R13,R11,R3,R2",ERJ-6ENF1000V,Panasonic,Widerstand 100RΩ ±1% 0.125W 0805,ERJ6ENF1000V,SMD,DigiKey,P100CCT-ND,
33,3,"R24,R23,R30",RC0805FR-072KL,Yageo,Widerstand 2k ±1% 0.125W 0805,RESC2012X60N,SMD,DigiKey,311-2.00KCRCT-ND,
34,3,"R32,R38,R40",RC1206FR-7W10KL,Yageo,Widerstand 10k ±1% 0.25W 1206 AEC-Q200,1206,SMD,DigiKey,13-RC1206FR-7W10KLTR-ND,
35,1,R41,ERJ-6ENF1000V,Panasonic,Widerstand 100Ω ±1% 0.125W 0805,ERJ6ENF1000V,SMD,DigiKey,P100CCT-ND,
36,10,"R42,R50,R7,R20,R17,R19,R8,R10,R9,R18",RC0805FR-0710KL,Yageo,Widerstand 10k ±1% 0.125W 0805,0805,SMD,DigiKey,311-10.0KCRCT-ND,
37,1,R43,RC0805FR-0715KL,Yageo,Widerstand 15k ±1% 0.125W 0805,0805,SMD,DigiKey,311-15.0KCRCT-ND,
38,15,"R44,R33,R37,R29,R22,R25,R36,R35,R26,R34,R31,R28,R21,R39,R27",RC0805FR-071KL,Yageo,Widerstand 1k ±1% 0.125W 0805,0805,SMD,DigiKey,311-1.00KCRCT-ND,
39,1,R45,RC0805JR-0710KL,Yageo,Widerstand 10k ±5% 0.125W 0805,0805,SMD,DigiKey,311-10KARCT-ND,
40,2,"R47,R46",RC0805FR-0760R4L,Yageo,Widerstand 60R4 ±1% 0.125W 0805,0805,SMD,DigiKey,311-60.4CRCT-ND,
41,5,"R48,R6,R15,R16,R5",RC0805JR-070RL,Yageo,Widerstand 0R ±5% 0.125W 0805,0805,SMD,DigiKey,311-0.0ARCT-ND,
42,1,R49,RC0805FR-0740K2L,Yageo,Widerstand 40k2 ±1% 0.125W 0805,0805,SMD,DigiKey,311-40.2KCRCT-ND,
43,1,U1,SP720ABTG,Littelfuse,SP720,SOIC-16_3.9x9.9mm_P1.27mm,SMD,DigiKey,F3162CT-ND,
44,1,U2,CSTNE16M0V530000R0,Murata,CSTNE16M0V530000R0,CSTNE16M0V530000R0,SMD,DigiKey,490-17948-1-ND,
45,1,U3,MCP2562FD-E/SN,Microchip Technology,MCP2562FD-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,SMD,DigiKey,MCP2562FD-E/SN-ND,
46,1,U4,TPS560430YQDBVRQ1,Texas Instruments,TPS560430Y-Q1,SOT-23-6,SMD,DigiKey,296-TPS560430YQDBVRQ1CT-ND,X-Q1-Variante existiert nicht; Y=2.1MHz passt zu 10uH-Spule
