Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
C1,87.440mm,-76.013mm,Bottom,180.000000,C_0805_2012Metric,0.01uF
C2,72.990mm,-76.013mm,Bottom,180.000000,C_0805_2012Metric,0.01uF
C11,80.040mm,-76.013mm,Bottom,180.000000,C_0805_2012Metric,0.01uF
C12,65.540mm,-76.013mm,Bottom,180.000000,C_0805_2012Metric,0.01uF
C34,99.031mm,-95.512mm,Bottom,180.000000,C_0805_2012Metric,0.1uF
C36,98.916mm,-98.503mm,Bottom,180.000000,C_0805_2012Metric,0.1uF
C37,99.131mm,-91.012mm,Bottom,180.000000,C_0805_2012Metric,0.1uF
C38,101.631mm,-100.512mm,Bottom,0.000000,C_0805_2012Metric,0.1uF
C39,94.081mm,-91.562mm,Bottom,-90.000000,C_0805_2012Metric,1uF
C40,96.091mm,-91.562mm,Bottom,-90.000000,C_0805_2012Metric,0.1uF
C41,92.081mm,-91.562mm,Bottom,-90.000000,C_0805_2012Metric,0.1uF
C42,92.531mm,-98.512mm,Bottom,180.000000,C_0805_2012Metric,0.1uF
C53,110.619mm,-104.000mm,Bottom,180.000000,C_0805_2012Metric,0.1uF
R1,88.990mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R2,85.418mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R3,74.704mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R4,71.133mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R11,81.847mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R12,78.276mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R13,67.561mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R14,63.990mm,-79.838mm,Bottom,-90.000000,ERJ6ENF1000V,100R
R45,96.081mm,-97.600mm,Bottom,-90.000000,R_0805_2012Metric,10k
C3,83.500mm,-89.000mm,Top,0.000000,C_0805_2012Metric,10nF
C4,63.000mm,-89.000mm,Top,90.000000,C_0805_2012Metric,10nF
C5,119.000mm,-96.500mm,Top,0.000000,C_0805_2012Metric,10nF
C6,127.500mm,-99.500mm,Top,0.000000,C_0805_2012Metric,10nF
C7,113.500mm,-109.000mm,Top,90.000000,C_0805_2012Metric,10nF
C8,127.000mm,-83.000mm,Top,90.000000,C_0805_2012Metric,10nF
