"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Digikey Part Number","Part Nr","Supplier"
"C1,C2,C11,C12","4","0.01uF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1136-1-ND","","DigiKey"
"C3,C4,C5,C6,C7,C8,C13,C14,C15,C16,C17,C18","12","10nF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1136-1-ND","","DigiKey"
"C9,C10,C19,C20,C21,C22,C25,C30,C31,C32,C35,C55","12","100nF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1140-1-ND","","DigiKey"
"C23","1","100uF","","","","Capacitor_SMD:C_1206_3216Metric","","1276-1782-1-ND","","DigiKey"
"C24,C27,C28,C39","4","1uF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1365-1-ND","","DigiKey"
"C26,C29,C34,C36,C37,C38,C40,C41,C42,C47,C50,C53","12","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1140-1-ND","","DigiKey"
"C33","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1883-1-ND","","DigiKey"
"C43,C45","2","2.2uF/50V","","","","Capacitor_SMD:C_1210_3225Metric","","445-1431-1-ND","","DigiKey"
"C44","1","4.7nF","","","","Capacitor_SMD:C_0805_2012Metric","","311-1133-1-ND","","DigiKey"
"C46","1","100nF/100V","","","","Capacitor_SMD:C_0805_2012Metric","","399-C0805C104K1RACTUCT-ND","","DigiKey"
"C48,C49","2","33uF","","","","Capacitor_SMD:CP_Elec_6.3x7.7","","PCE3925CT-ND","","DigiKey"
"C51,C52","2","22 µF","","","","KiCad-self:EEE1AA221P","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf","PCE3811CT-ND","","DigiKey"
"C54","1","22uF/10V","","","","Capacitor_SMD:C_1210_3225Metric","","490-1876-1-ND","","DigiKey"
"D1,D5,D6,D7","4","SMAJ5.0A","","","","Diode_SMD:D_SMA","","SMAJ5.0ALFCT-ND","","DigiKey"
"D2","1","SK510L","","","","Diode_SMD:D_SMC","","SK510L-TPMSCT-ND","","DigiKey"
"D3","1","SMBJ33A","","","","Diode_SMD:D_SMB","","SMBJ33ALFCT-ND","","DigiKey"
"D4","1","NUP2105L","","","","Package_TO_SOT_SMD:SOT-23","","NUP2105LT1GOSCT-ND","","DigiKey"
"D8","1","SMCJ18A","","","","Diode_SMD:D_SMC","","SMCJ18ALFCT-ND","","DigiKey"
"D9","1","SL310A","","","","Diode_SMD:D_SMA_Handsoldering","","SL310A-TPMSCT-ND","","DigiKey"
"F1,F2,F3","3","50mA","","","","Fuse:Fuse_1206_3216Metric","","5923-0ZCJ0005FF2ECT-ND","","DigiKey"
"F4","1","0.5A/30V","","","","Fuse:Fuse_1812_4532Metric","","F8132CT-ND","","DigiKey"
"IC1,IC2,IC3,IC4","4","MAX31855KASA+","","","","KiCad-self:SOIC127P600X175-8N","https://datasheets.maximintegrated.com/en/ds/MAX31855.pdf","MAX31855KASA+TCT-ND","","DigiKey"
"IC5","1","STM32G474RBT6","","","","KiCad-self:QFP50P1200X1200X160-64N","https://www.st.com/resource/en/datasheet/stm32g474cb.pdf","STM32G474RBT6-ND","","DigiKey"
"IC6","1","LD1117S33C","","","","KiCad-self:LD1117S33C","https://www.st.com/resource/en/datasheet/ld1117.pdf","497-1241-1-ND","","DigiKey"
"J1,J2","2","MX23A12NF1","","","","KiCad-self:MX23A12NF1","https://www.jae.com/direct/topics/topics_file_download/topics_id=64755&ext_no=06&_lang=en&v=","670-1683-ND","","DigiKey"
