Time,secl,status1,engine,Sync Loss #,MAP,IAT(C),CLT(C),Battery Correction,Battery V,AFR,EGO Correction,IAT Correction,WUE Correction,RPM,Accel. Correction,Gamma Correction,VE1,VE2,AFR Target,TPSdot,Advance Current,TPS,Loops/S,Free RAM,Boost Target,Boost Duty,status2,rpmDOT,Eth%,Flex Fuel Correction,Flex Adv Correction,IAC Steps/Duty,testoutputs,AFR2,Baro,AUX_IN 0,AUX_IN 1,AUX_IN 2,AUX_IN 3,AUX_IN 4,AUX_IN 5,AUX_IN 6,AUX_IN 7,AUX_IN 8,AUX_IN 9,AUX_IN 10,AUX_IN 11,AUX_IN 12,AUX_IN 13,AUX_IN 14,AUX_IN 15,TPS ADC,Errors,PW,PW2,PW3,PW4,status3,Engine Protect,,Fuel Load,Ign Load,Dwell Requested,Idle Target (RPM),MAP DOT,VVT1 Angle,VVT1 Target,VVT1 Duty,Flex Boost Adj,Baro Correction,VE Current,ASE Correction,Vehicle Speed,Gear,Fuel Pressure,Oil Pressure,WMI PW,status4,VVT2 Angle,VVT2 Target,VVT2 Duty,outputs,Fuel Temp,Fuel Temp Correction,Advance 1,Advance 2,SD Status,EMAP,Fan Duty,AirConStatus,Dwell Actual
0.350,96,0,0,0,80,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0
1.352,97,0,0,0,80,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
2.354,98,0,0,0,81,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,32,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
3.356,99,0,0,0,81,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
4.358,100,0,0,0,80,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
5.360,101,0,0,0,80,0,0,0,7.80,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
6.362,102,0,0,0,81,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
7.364,103,0,0,0,80,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
8.366,104,0,0,0,80,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
9.368,105,0,0,0,81,0,0,0,7.70,0,100,0,0,0,0,0,255,0,0,0,0,0,0,20132,0,0,8,0,0,0,0,0,0,25.50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,32,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
