//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-21-2025
//--  Time: 15:53
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 0(C), 	Resistance 1: 5600 Ohms 
//--    Temperature2: 40(C), 	Resistance 2: 1000 Ohms 
//--    Temperature3: 100(C), 	Resistance 3: 180 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	291.61	2916 	0.156
2	225.64	2256 	0.313
3	191.72	1917 	0.469
4	169.19	1692 	0.625
5	152.36	1524 	0.781
6	138.92	1389 	0.938
7	127.68	1277 	1.094
8	117.98	1180 	1.250
9	109.40	1094 	1.406
10	101.66	1017 	1.563
11	94.57	946 	1.719
12	87.98	880 	1.875
13	81.80	818 	2.031
14	75.93	759 	2.188
15	70.30	703 	2.344
16	64.85	649 	2.500
17	59.54	595 	2.656
18	54.32	543 	2.813
19	49.15	491 	2.969
20	43.96	440 	3.125
21	38.73	387 	3.281
22	33.39	334 	3.438
23	27.88	279 	3.594
24	22.12	221 	3.750
25	15.99	160 	3.906
26	9.34	93 	4.063
27	1.90	19 	4.219
28	-6.77	-68 	4.375
29	-17.62	-176 	4.531
30	-33.38	-334 	4.688
31	0.00	0 	4.844
